"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","1.331051","0","5"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","3.269413","0","10"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","4.055261","0","14"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","2.873327","0","6"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","2.651111","0","6"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","12.888175","0","24"
"/Game/Props/Banio/toallas/toalla_blanca.toalla_blanca","0","3","3","1","1.225251","0","3"
"/Game/Props/Banio/toallas/toalla_blanca_001.toalla_blanca_001","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/florero/lo_mat.lo_mat","0","14","16","1","8.345853","0","16"
"/Game/Props/Cocina/mesa/Material_001.Material_001","0","3","3","1","1.710870","0","3"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","632","1","110.425911","0","632"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","5.521618","0","9"
"/Game/Props/Banio/isopos/Material_002.Material_002","0","3","3","1","1.406488","0","3"
"/Game/Props/Banio/jabones/Material__49.Material__49","0","3","3","1","1.438703","0","3"
"/Game/Props/Banio/jabones/Material__48.Material__48","0","3","3","1","0.000000","0","3"
"/Game/Props/Banio/jabones/Material__47.Material__47","0","3","3","1","0.000000","0","3"
"/Game/Props/Banio/jabones/Material__46.Material__46","0","3","3","1","0.000000","0","3"
"/Game/Props/Banio/laundy/Material_001.Material_001","0","3","3","1","1.785900","0","3"
"/Game/Props/Banio/laundy/Wood.Wood","0","3","3","1","1.383110","0","3"
"/Game/Props/Cocina/tostadora/Color.Color","0","3","3","1","1.333251","0","3"
"/Game/Props/comedor/cuadro2/Material.Material","0","3","3","1","1.482719","0","3"
"/Game/Props/general/escaleritamia/Escalera_001.Escalera_001","0","3","3","1","1.432027","0","3"
"/Game/Props/Cocina/heladera/Mat_1.Mat_1","0","3","3","1","1.371341","0","3"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","7.490898","0","16"
"/Game/Props/armer?a/Bandera/Material_001.Material_001","0","10","10","1","17.181559","0","10"
"/Game/Props/Cocina/heladera/Mat_4.Mat_4","0","3","3","1","1.325227","0","3"
"/Game/materials/vidrio/vidrioventana.vidrioventana","0","3","3","1","1.301929","0","3"
"/Game/Props/Cocina/heladera/Mat_3.Mat_3","0","3","3","1","1.413246","0","3"
"/Game/Props/Cocina/heladera/Mat.Mat","0","3","3","1","1.418133","0","3"
"/Game/Props/Cocina/heladera/Mat_5.Mat_5","0","3","3","1","1.341616","0","3"
"/Game/Props/Cocina/tostadora/BlackPlastic.BlackPlastic","0","3","3","1","1.373822","0","3"
"/Game/Props/Cocina/tostadora/Metal.Metal","0","3","3","1","1.255632","0","3"
"/Game/Props/Cocina/mixer/Plastic1.Plastic1","0","3","3","1","1.359857","0","3"
"/Game/Props/CuartoPadres/mesitaLuz/Material.Material","0","3","3","1","1.984832","0","3"
"/Game/Props/livingRoom/tocadiscos/lambert1.lambert1","0","3","3","1","1.386485","0","3"
"/Game/Props/Cocina/cocinaArriba/glass.glass","0","3","3","1","1.334604","0","3"
"/Game/Props/Cocina/licuadora/Plastic.Plastic","0","3","3","1","1.304571","0","3"
"/Game/Props/Cocina/mueble/glass.glass","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/mueble/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/mueblecito/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/muebleEntero/glass.glass","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/muebleEntero/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/mueble2/RetroBoard.RetroBoard","0","3","3","1","0.000000","0","3"
"/Game/Props/Banio/jabones/03_-_Default.03_-_Default","0","3","3","1","1.351319","0","3"
"/Game/Props/Cocina/licuadora/Metal.Metal","0","3","3","1","1.376587","0","3"
"/Game/Props/livingRoom/cuadro/Glass.Glass","0","3","3","1","1.328319","0","3"
"/Game/Props/livingRoom/cuadro/Wood.Wood","0","3","3","1","0.000000","0","3"
"/Game/Props/livingRoom/cuadro/WoodBackground.WoodBackground","0","3","3","1","0.000000","0","3"
"/Game/Props/livingRoom/cuadro/WoodPaddle.WoodPaddle","0","3","3","1","0.000000","0","3"
"/Game/Vefects/Free_Fire/Shared/Materials/M_VFX_Erosion.M_VFX_Erosion","0","26","26","2","14.094385","0","26"
"/Game/Props/decalbichote/decal_mm.decal_mm","0","11","11","1","5.814528","0","11"
"/Game/Props/livingRoom/tv/screenReflect.screenReflect","0","3","3","1","1.371572","0","3"
"/Game/Props/livingRoom/tv/wood.wood","0","3","3","1","0.000000","0","3"
"/Game/Props/Banio/ropa/ropa.ropa","0","3","3","1","0.000000","0","3"
"/Game/Props/general/switchluz.switchluz","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/cuadro/Mat-pic.Mat-pic","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/cuadro/Mat_picture.Mat_picture","0","3","3","1","0.000000","0","3"
"/Game/Props/livingRoom/silloncito/Green_Armchair_lowpoly.Green_Armchair_lowpoly","0","3","3","1","1.851528","0","3"
"/Game/Props/livingRoom/tv/back.back","0","3","3","1","1.751421","0","3"
"/Game/Props/Cocina/horno/03_-_Default.03_-_Default","0","3","3","1","1.128416","0","3"
"/Game/Props/Cocina/lababo/Sink.Sink","0","3","3","1","0.671028","0","3"
"/Game/Props/Cocina/propsVarios/DefaultMaterial.DefaultMaterial","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/alfombra/Doormate.Doormate","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/cuadro3/PictureFrame2.PictureFrame2","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/mesa/Chair.Chair","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/mesa/Table.Table","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/mueble1/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"/Game/Props/CuartoPadres/cama/bed_wood_material.bed_wood_material","0","3","3","1","0.000000","0","3"
"/Game/Props/CuartoPadres/cama/bed_pillow_material.bed_pillow_material","0","3","3","1","0.000000","0","3"
"/Game/Props/CuartoPadres/cama/bed_mattres_material.bed_mattres_material","0","3","3","1","0.000000","0","3"
"/Game/Props/CuartoPadres/espejito/CosmeticMirror3.CosmeticMirror3","0","6","6","1","1.707093","0","6"
"/Game/Props/livingRoom/tocadiscos/lambert2.lambert2","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/cocinaArriba/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/cocinaAbajo/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Props/Cocina/lababo/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/planta2/lambert2.lambert2","0","3","3","1","1.750203","0","3"
"/Game/Props/general/banquito/Material_001.Material_001","0","3","3","1","1.277567","0","3"
"/Game/Props/Banio/toallas/Barra.Barra","0","3","3","1","1.287846","0","3"
"/Game/Props/Cocina/licuadora/normal.normal","0","3","3","1","1.296659","0","3"
"/Game/Props/Cocina/mixer/Metal.Metal","0","3","3","1","1.365998","0","3"
"/Game/Props/Cocina/mixer/Plastic2.Plastic2","0","3","3","1","1.345348","0","3"
"/Game/Props/Cocina/tostadora/Glass.Glass","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/radio/M_raiod.M_raiod","0","3","3","1","0.000000","0","3"
"/Game/Props/comedor/planta2/lambert3.lambert3","0","3","3","1","1.238627","0","3"
"/Game/Vefects/Free_Fire/Shared/Materials/M_VFX_HeatDistortion.M_VFX_HeatDistortion","0","14","14","1","6.532986","0","14"
"/Game/Props/Cocina/licuadora/Color.Color","0","3","3","1","1.232668","0","3"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","1.082919","0","2"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","64","2","0.000000","0","64"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","4.336454","0","14"
"Globals","49","15774","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","339","240","8","322.189880","0","240"
"/InterchangeAssets/gltf/M_Default.M_Default","49","733","817","32","495.103516","206","1093"
